customer_id,account_age_years,total_credit_accounts,accounts_in_delinquency,total_credit_limit,credit_balance,credit_utilization_ratio
1,10,5,0,31247,21052,0.673728678
2,7,10,1,7632,9846,1.29009434
3,3,2,2,40460,15136,0.374097874
4,11,9,1,30413,12036,0.395751817
5,11,10,1,30597,24842,0.811909664
6,14,2,3,27172,12539,0.461467687
7,8,10,3,48034,4791,0.09974185
8,9,8,3,12768,21649,1.695567043
9,15,10,2,13402,26683,1.990971497
10,11,7,3,20217,22283,1.102191225
11,7,4,1,37181,25830,0.694709664
12,2,9,1,14741,26803,1.81826199
13,2,5,2,17124,5437,0.317507592
14,11,9,3,30229,12813,0.423864501
15,16,4,1,39919,18540,0.464440492
16,17,4,3,43190,19650,0.454966427
17,10,7,0,31585,15181,0.480639544
18,13,4,2,32734,25634,0.783100141
19,17,3,2,19531,11260,0.576519379
20,3,9,3,39012,10363,0.265636214
21,6,7,3,40762,21451,0.526249939
22,14,9,2,27376,24361,0.889867037
23,7,7,1,39175,23003,0.587185705
24,15,1,3,41154,3324,0.080769792
25,18,7,0,10485,13552,1.292513114
26,10,2,2,5116,28917,5.652267396
27,16,4,0,10106,20175,1.996338809
28,20,5,1,41043,4372,0.106522428
29,1,4,2,47492,19461,0.409774278
30,3,5,2,40524,19134,0.472164643
31,17,8,3,24697,17516,0.70923594
32,4,8,0,9053,12489,1.379542693
33,15,5,3,25203,11681,0.46347657
34,2,6,3,22030,6243,0.283386291
35,6,7,2,7897,5831,0.738381664
36,9,4,2,34728,23581,0.679019811
37,20,1,0,38589,5586,0.144756278
38,16,9,2,14777,12746,0.862556676
39,4,10,0,48709,25253,0.518446283
40,2,2,1,39982,7653,0.191411135
41,15,3,0,6099,26711,4.379570421
42,7,2,3,47680,7245,0.151950503
43,14,10,2,31813,2163,0.067991073
44,9,9,2,30814,20788,0.674628416
45,13,2,2,23418,27229,1.162738065
46,7,9,0,30725,25938,0.844198535
47,13,10,3,45569,10910,0.239417148
48,8,7,1,25007,25960,1.038109329
49,15,4,0,39430,2403,0.060943444
50,18,10,1,27692,15120,0.546006067
51,20,7,0,8778,21998,2.506037822
52,12,10,3,22214,27981,1.259611056
53,20,5,0,19227,10286,0.534976855
54,4,2,3,42799,15094,0.352671791
55,15,4,2,26062,21033,0.807037065
56,4,3,2,35881,11083,0.308882138
57,7,1,0,21332,25788,1.208888056
58,6,8,1,11295,16224,1.436387782
59,10,2,3,10811,1794,0.165942096
60,6,9,3,34841,8392,0.240865647
61,8,4,3,19123,8022,0.419494849
62,11,8,3,38755,12977,0.334847117
63,13,3,0,41673,25308,0.60729969
64,10,7,3,36553,6607,0.180751238
65,10,6,2,35042,17372,0.49574796
66,5,2,0,30692,7016,0.22859377
67,7,10,3,29894,25481,0.852378404
68,17,9,0,30505,29111,0.954302573
69,6,9,0,17599,18647,1.059548838
70,1,4,3,11465,2935,0.255996511
71,3,8,3,41637,2623,0.062996854
72,9,1,1,15565,10684,0.686411821
73,5,4,0,37615,27297,0.725694537
74,1,9,3,6753,17428,2.580778913
75,7,6,2,7514,29835,3.970588235
76,8,4,0,24671,29987,1.21547566
77,14,9,0,35527,28826,0.811382892
78,7,6,2,38898,20501,0.527045092
79,10,1,3,33459,2748,0.082130369
80,16,7,1,42816,26702,0.623645366
81,15,3,3,8966,16115,1.797345528
82,12,5,1,47402,13314,0.280874225
83,9,7,3,38492,3207,0.083316014
84,10,6,0,34810,16746,0.481068658
85,9,10,0,24996,17620,0.704912786
86,1,9,1,26713,8325,0.311646015
87,19,8,3,44603,29638,0.664484452
88,17,6,1,21915,20883,0.952908966
89,8,6,2,12640,18783,1.485996835
90,6,3,1,26774,5428,0.202733996
91,13,10,0,45275,19774,0.436753175
92,6,1,3,48503,10010,0.206378987
93,17,1,3,26482,2332,0.088059814
94,11,9,1,20304,21255,1.046838061
95,8,6,2,44534,27779,0.623770602
96,18,10,1,36142,15237,0.421587073
97,13,1,2,14704,19830,1.348612622
98,19,3,3,46106,7477,0.162169783
99,14,5,3,11501,16409,1.4267455
100,20,4,1,33695,28427,0.843656329
101,7,1,1,11638,13140,1.129059976
102,4,3,1,27198,24227,0.890764027
103,14,7,3,48849,1562,0.03197609
104,7,9,0,48161,29688,0.616432383
105,20,10,0,25205,15287,0.606506646
106,15,8,1,15027,17940,1.193851068
107,9,10,0,35480,19550,0.551014656
108,10,4,3,24388,17561,0.720067246
109,12,5,2,20280,14139,0.697189349
110,11,8,0,12530,3434,0.274062251
111,15,5,2,27215,1789,0.065735807
112,2,10,3,19177,16526,0.861761485
113,15,5,2,43481,19038,0.437846416
114,14,9,3,25535,25835,1.01174858
115,18,9,0,40676,21243,0.522248992
116,8,4,2,25174,26884,1.067927227
117,10,2,0,35958,4475,0.124450748
118,9,10,1,34086,29177,0.855981928
119,3,6,1,18361,29151,1.587658624
120,4,5,1,48048,26670,0.55506993
121,5,10,1,10618,14280,1.344886043
122,7,8,0,49942,9930,0.198830644
123,12,10,3,24577,11481,0.467144078
124,12,8,0,26214,10662,0.406729229
125,19,1,0,21026,14013,0.666460573
