customer_id,annual_income,total_debt,debt_to_income_ratio,missed_debt_payments
1,570702,1116201,1.955838599,1
2,559440,1799407,3.216443229,5
3,525534,643912,1.22525279,5
4,1028811,1736350,1.687724956,1
5,721950,178664,0.247474202,4
6,1066671,1561349,1.463758741,1
7,1863754,560594,0.30078755,3
8,1144515,557208,0.486850762,2
9,1928275,1981146,1.027418807,3
10,1052050,349885,0.332574497,1
11,1036262,392640,0.378900317,3
12,1037685,104871,0.101062461,1
13,483984,1615970,3.338891368,0
14,1801744,1678126,0.931389809,4
15,852149,765589,0.89842152,4
16,1535851,791245,0.515183439,2
17,860243,266631,0.309948468,0
18,320763,1439976,4.489221014,0
19,1782494,1422611,0.798101424,2
20,1686682,804377,0.476899024,1
21,1877472,1817694,0.968160377,5
22,1767622,675186,0.3819742,1
23,1424029,1133816,0.796202886,5
24,511270,1579798,3.089948559,3
25,1313038,251231,0.191335666,0
26,568967,1044539,1.83585164,3
27,1556614,1781671,1.144581123,0
28,670712,1352098,2.015914431,3
29,542174,216913,0.400080048,3
30,1088890,845615,0.776584412,4
31,827257,971518,1.174384744,2
32,1796124,1864772,1.038220078,2
33,525942,505239,0.960636344,1
34,1303738,866704,0.664783875,3
35,690752,1634901,2.366842224,5
36,332214,1559246,4.693498769,0
37,1893378,1437048,0.75898632,3
38,1773378,158840,0.089569173,4
39,805800,238516,0.295999007,1
40,1638127,903718,0.551677617,1
41,1380491,652747,0.472836838,5
42,1813692,1395688,0.769528674,3
43,1530594,1565525,1.022821859,0
44,444317,481628,1.083973829,3
45,1105348,1243679,1.125147013,2
46,1706410,815816,0.478089088,2
47,1723573,1561907,0.906202986,0
48,742986,564797,0.760171793,0
49,695701,1704120,2.449500576,4
50,1259030,553558,0.439670222,3
51,1573458,259525,0.164939261,3
52,1618207,612386,0.378434897,0
53,1925102,1318244,0.684765794,4
54,760735,1689535,2.220924501,4
55,342107,334628,0.978138419,4
56,1835231,1479925,0.806397124,5
57,1511924,1818423,1.202721169,0
58,1664472,1620023,0.973295435,0
59,588587,842238,1.430949036,5
60,429219,1176786,2.741691304,3
61,524313,896284,1.709444549,1
62,1906492,1592508,0.83530799,3
63,1845448,1302127,0.705588562,1
64,942847,772413,0.819234722,5
65,616300,961999,1.560926497,4
66,917136,1943250,2.118824253,4
67,1962692,556301,0.283437748,1
68,847427,330510,0.390015895,0
69,1018271,988245,0.970512761,4
70,815943,503427,0.616987951,2
71,1494528,1789308,1.19723953,1
72,1189292,113955,0.095817512,3
73,718482,684473,0.952665481,0
74,308240,1631100,5.291655853,4
75,1828250,980277,0.536183235,2
76,1390255,1046775,0.752937411,1
77,1490677,1609111,1.079449807,3
78,437890,1081980,2.470894517,4
79,835297,160438,0.192072999,1
80,506028,1514300,2.992522153,2
81,1655441,288961,0.174552279,4
82,370863,1622221,4.374178605,1
83,566433,343186,0.605872186,1
84,1007910,143778,0.142649641,5
85,1773621,221144,0.124685037,1
86,507963,485503,0.955784181,1
87,483208,906072,1.875117962,2
88,1647879,1832595,1.112093182,1
89,1853404,237580,0.12818576,4
90,1839180,1668571,0.907236377,5
