customer_id,loan_amount,loan_type,loan_term,interest_rate,monthly_payment_amount,loan_status,outstanding_balance
5292,801366,Auto,12,0.09,20055,Defaulted,455617
288,792218,Personal,12,0.09,29057,Paid Off,38276
1939,293769,Auto,36,0.13,43164,Active,380429
3411,1127249,Home,48,0.09,8552,Active,241441
322,629848,Personal,48,0.1,7760,Defaulted,464866
7850,1378619,Home,36,0.09,8710,Defaulted,444608
2782,1614827,Personal,12,0.13,34183,Paid Off,211700
288,177352,Auto,48,0.08,20534,Defaulted,382472
288,1298464,Auto,60,0.09,10858,Active,458847
8055,1094276,Personal,60,0.11,36519,Active,158646
5292,1341435,Education,48,0.1,49739,Active,301456
2782,1336392,Auto,60,0.07,49203,Active,166223
1997,1830224,Home,60,0.11,39786,Active,260747
7815,978059,Education,48,0.13,9887,Paid Off,116090
2863,1760874,Auto,12,0.08,40957,Defaulted,220722
7537,355623,Personal,36,0.12,17811,Active,61956
2782,1787484,Auto,24,0.09,47434,Defaulted,57818
4320,1857461,Auto,36,0.08,45209,Active,272451
1939,1887255,Personal,48,0.12,49563,Active,468443
8054,85415,Auto,48,0.14,33291,Paid Off,21981
2531,1714953,Education,12,0.12,5895,Active,123417
4443,36490,Personal,12,0.11,7626,Paid Off,25287
8055,358311,Home,12,0.11,8390,Paid Off,337693
2782,1783882,Education,48,0.14,32205,Active,377082
8604,1564894,Home,24,0.07,47281,Defaulted,47114
1441,155401,Personal,60,0.08,22833,Active,122093
2880,38142,Auto,60,0.14,13550,Paid Off,390025
7059,81970,Auto,12,0.08,31284,Defaulted,201190
4377,433257,Auto,60,0.11,46414,Defaulted,130561
1266,684118,Personal,60,0.1,41557,Defaulted,50247
4294,822764,Home,24,0.09,1273,Paid Off,362339
2837,1419940,Auto,12,0.12,13593,Paid Off,154201
9646,323062,Home,12,0.15,33589,Paid Off,207238
4322,1575758,Personal,12,0.08,20833,Paid Off,142246
9198,1671681,Personal,48,0.09,37363,Paid Off,486777
9411,136916,Education,12,0.15,6679,Defaulted,271463
4828,1885926,Personal,24,0.15,10818,Paid Off,189443
2916,344007,Home,36,0.12,33450,Defaulted,430247
227,259126,Auto,12,0.15,1385,Defaulted,241104
2385,288686,Home,12,0.1,48886,Paid Off,426605
4705,70625,Education,12,0.08,4519,Paid Off,391382
9742,305555,Auto,36,0.1,17784,Paid Off,311893
1917,1515777,Home,24,0.1,3986,Active,267255
113,1816852,Personal,60,0.09,15249,Defaulted,134768
2151,1044100,Auto,48,0.1,1285,Active,84560
427,1677926,Personal,24,0.12,7424,Active,266177
4598,619745,Personal,12,0.15,31093,Paid Off,321399
6120,319119,Auto,12,0.12,17907,Defaulted,238076
3378,130861,Home,12,0.09,5846,Active,289230
9408,589892,Personal,24,0.11,27787,Active,428036
1944,1535614,Education,48,0.1,13623,Defaulted,368900
956,1629565,Education,24,0.1,34059,Paid Off,88491
8336,302799,Auto,12,0.1,39907,Active,359743
8800,737375,Personal,24,0.07,6106,Defaulted,236250
5683,1156403,Auto,60,0.14,1754,Paid Off,366661
7888,1083363,Education,60,0.09,25242,Paid Off,54642
6692,15177,Auto,36,0.15,23778,Paid Off,206499
2282,964931,Personal,12,0.12,5244,Active,412828
6091,844115,Education,36,0.07,1354,Defaulted,454599
5739,585853,Home,24,0.09,42137,Active,405189
2342,158493,Education,36,0.1,2134,Active,494968
8691,756531,Home,60,0.11,34840,Active,345320
2733,1504622,Education,12,0.14,15994,Defaulted,192297
5237,1006963,Auto,60,0.14,43031,Active,489146
4439,165654,Education,24,0.09,28418,Defaulted,147273
5872,464465,Auto,48,0.1,43698,Paid Off,93111
46,398625,Personal,36,0.12,7357,Paid Off,229944
6047,837345,Home,48,0.07,14388,Paid Off,186131
6506,422974,Education,24,0.1,17403,Active,333643
7500,625695,Auto,48,0.09,17652,Paid Off,341460
4709,525419,Home,12,0.08,34844,Active,476910
7147,1017176,Education,36,0.11,25664,Defaulted,176352
7863,219235,Auto,36,0.14,9445,Active,452914
1187,1962843,Personal,12,0.13,24729,Defaulted,312711
7028,620206,Personal,24,0.1,16783,Paid Off,470582
