customer_id,on_time_payment_count,missed_payment_count,late_payment_count,on_time_percentage
1,37,3,4,84.09
2,24,5,1,80.00
3,11,7,1,57.89
4,21,1,2,87.50
5,39,7,0,84.78
6,10,2,1,76.92
7,16,1,5,72.73
8,24,4,2,80.00
9,13,7,3,56.52
10,3,5,2,30.00
11,40,5,1,86.96
12,4,5,1,40.00
13,33,2,3,86.84
14,15,6,4,60.00
15,2,8,5,13.33
16,34,0,3,91.89
17,40,8,0,83.33
18,3,8,0,27.27
19,2,4,0,33.33
20,9,6,4,47.37
21,15,2,0,88.24
22,22,1,1,91.67
23,5,10,3,27.78
24,21,9,3,63.64
25,24,0,2,92.31
26,22,4,4,73.33
27,20,7,4,64.52
28,34,6,5,75.56
29,44,6,4,81.48
30,45,5,2,86.54
31,17,2,5,70.83
32,39,9,0,81.25
33,39,1,2,92.86
34,41,3,1,91.11
35,23,10,4,62.16
36,19,7,4,63.33
37,0,7,3,0.00
38,7,3,1,63.64
39,47,10,3,78.33
40,50,0,1,98.04
41,25,0,3,89.29
42,39,8,2,79.59
43,12,6,1,63.16
44,4,5,3,33.33
45,0,5,2,0.00
46,24,5,4,72.73
47,4,6,3,30.77
48,45,10,0,81.82
49,2,8,1,18.18
50,38,0,2,95.00
51,40,1,0,97.56
52,31,5,0,86.11
53,34,9,5,70.83
54,30,8,5,69.77
55,4,3,3,40.00
56,47,10,4,77.05
57,23,0,0,100.00
58,27,6,0,81.82
59,29,7,5,70.73
60,11,1,2,78.57
61,13,0,0,100.00
62,47,6,1,87.04
63,41,0,3,93.18
64,19,1,2,86.36
65,8,3,3,57.14
66,6,8,0,42.86
67,26,5,1,81.25
68,2,8,0,20.00
69,40,7,5,76.92
70,32,10,4,69.57
71,31,9,2,73.81
72,34,3,4,82.93
73,13,9,5,48.15
74,19,6,5,63.33
75,37,4,3,84.09
76,24,3,4,77.42
77,17,4,0,80.95
78,21,0,2,91.30
79,1,8,3,8.33
80,6,0,5,54.55
81,28,8,0,77.78
82,15,1,4,75.00
83,13,1,4,72.22
84,13,4,1,72.22
85,42,2,1,93.33
86,8,3,4,53.33
87,26,7,2,74.29
88,13,8,5,50.00
89,46,10,5,75.41
90,46,8,0,85.19
91,6,5,0,54.55
92,26,8,2,72.22
93,11,0,5,68.75
94,35,10,1,76.09
95,6,4,0,60.00
96,30,3,0,90.91
97,5,5,1,45.45
98,6,7,4,35.29
99,22,6,0,78.57
100,28,2,5,80.00
101,41,0,1,97.62
102,14,7,2,60.87
103,19,0,3,86.36
104,6,2,3,54.55
105,41,3,3,87.23
106,39,1,5,86.67
107,7,6,3,43.75
108,28,6,0,82.35
109,8,4,0,66.67
110,9,0,0,100.00
111,38,9,5,73.08
112,36,5,1,85.71
113,38,2,4,86.36
114,23,2,5,76.67
115,47,6,3,83.93
116,19,6,0,76.00
117,7,6,0,53.85
